#name,id,kpi7_avg,kpi7_max
,485,29 ,38 
,486,29 ,37 
,487,28 ,38 
,488,28 ,33 
,489,29 ,43 
,490,28 ,41 
,491,28 ,38 
,492,29 ,38 
,493,28 ,35 
,494,29 ,44 
,495,30 ,49 
,496,29 ,41 
,497,29 ,38 
,498,29 ,39 
,499,29 ,49 
,500,28 ,37 
,501,29 ,38 
,502,29 ,37 
,503,28 ,35 
,504,28 ,36 
,505,30 ,43 
,506,28 ,38 
,507,29 ,40 
,508,28 ,36 
,509,30 ,50 
,510,30 ,39 
,511,29 ,35 
,512,29 ,38 
,513,29 ,42 
,514,29 ,38 
,515,29 ,39 
,516,29 ,41 
,517,28 ,37 
,518,30 ,41 
,519,29 ,38 
,520,29 ,42 
,521,30 ,41 
,522,29 ,41 
,523,30 ,38 
,524,31 ,51 
,525,30 ,40 
,526,30 ,41 
,527,30 ,38 
,528,31 ,44 
,529,31 ,42 
,530,31 ,47 
,531,32 ,43 
,532,29 ,35 
,533,27 ,35 
,534,28 ,36 
,535,28 ,41 
,536,29 ,35 
,537,28 ,36 
,538,28 ,35 
,539,28 ,41 
,540,28 ,34 
,541,30 ,42 
,542,29 ,42 
,543,30 ,42 
,544,29 ,37 
,545,28 ,34 
,546,28 ,40 
,547,28 ,44 
,548,30 ,42 
,549,29 ,46 
,550,30 ,42 
,551,30 ,43 
,552,29 ,49 
,553,31 ,41 
,554,29 ,37 
,555,29 ,38 
,556,31 ,39 
,557,31 ,38 
,558,31 ,38 
,559,32 ,45 
,560,33 ,44 
,561,32 ,44 
,562,28 ,35 
,563,28 ,35 
,564,29 ,37 
,565,29 ,34 
,566,28 ,38 
,567,28 ,46 
,568,29 ,43 
,569,29 ,37 
,570,28 ,33 
,571,29 ,41 
,572,28 ,37 
,573,30 ,41 
,574,28 ,35 
,575,29 ,35 
,576,29 ,40 
,577,28 ,35 
,578,30 ,40 
,579,30 ,39 
,580,29 ,37 
,581,28 ,36 
,582,28 ,35 
,583,29 ,36 
,584,29 ,37 
,585,29 ,44 
,586,29 ,38 
,587,28 ,35 
,588,29 ,44 
,589,30 ,39 
,590,29 ,39 
,591,29 ,35 
,592,28 ,37 
,593,29 ,36 
,594,29 ,42 
,595,29 ,38 
,596,29 ,38 
,597,29 ,34 
,598,28 ,36 
,599,29 ,38 
,600,28 ,38 
,601,29 ,37 
,602,28 ,36 
,603,30 ,43 
,604,30 ,39 
,605,29 ,34 
,606,29 ,38 
,607,30 ,42 
,608,29 ,42 
,609,29 ,44 
,610,30 ,43 
,611,29 ,40 
,612,30 ,41 
,613,30 ,40 
,614,30 ,41 
,615,30 ,41 
,616,29 ,38 
,617,30 ,38 
,618,30 ,38 
,619,30 ,41 
,620,30 ,41 
,621,31 ,41 
,622,31 ,44 
,623,31 ,41 
,624,31 ,47 
,625,30 ,38 
,626,28 ,35 
,627,28 ,38 
,628,29 ,37 
,629,28 ,37 
,630,29 ,38 
,631,28 ,36 
,632,30 ,40 
,633,28 ,41 
,634,29 ,38 
,635,30 ,42 
,636,29 ,41 
,637,29 ,38 
,638,29 ,40 
,639,29 ,37 
,640,30 ,47 
,641,28 ,39 
,642,30 ,42 
,643,30 ,40 
,644,30 ,44 
,645,29 ,37 
,646,29 ,40 
,647,29 ,44 
,648,29 ,36 
,649,30 ,36 
,650,31 ,43 
,651,31 ,38 
,652,32 ,44 
,653,32 ,46 
,654,33 ,48 
,655,33 ,45 
,656,28 ,35 
,657,27 ,34 
,658,28 ,37 
,659,29 ,34 
,660,28 ,38 
,661,29 ,39 
,662,28 ,40 
,663,29 ,37 
,664,28 ,37 
,665,29 ,38 
,666,28 ,36 
,667,29 ,41 
,668,29 ,40 
,669,28 ,37 
,670,30 ,41 
,671,28 ,35 
,672,28 ,35 
,673,29 ,40 
,674,28 ,35 
,675,30 ,40 
,676,28 ,41 
,677,29 ,38 
,678,30 ,40 
,679,29 ,36 
,680,28 ,40 
,681,28 ,36 
,682,30 ,38 
,683,29 ,36 
,684,29 ,37 
,685,29 ,38 
,686,30 ,42 
,687,29 ,41 
,688,29 ,38 
,689,29 ,38 
,690,29 ,38 
,691,29 ,44 
,692,30 ,43 
,693,29 ,39 
,694,29 ,36 
,695,29 ,36 
,696,29 ,38 
,697,29 ,40 
,698,29 ,37 
,699,30 ,47 
,700,29 ,42 
,701,29 ,37 
,702,29 ,38 
,703,29 ,38 
,704,29 ,41 
,705,29 ,38 
,706,28 ,38 
,707,29 ,42 
,708,28 ,39 
,709,30 ,42 
,710,30 ,40 
,711,30 ,40 
,712,29 ,37 
,713,29 ,41 
,714,29 ,40 
,715,29 ,41 
,716,28 ,35 
,717,29 ,38 
,718,29 ,39 
,719,30 ,44 
,720,29 ,37 
,721,29 ,40 
,722,30 ,43 
,723,29 ,39 
,724,30 ,41 
,725,30 ,39 
,726,30 ,45 
,727,29 ,38 
,728,29 ,37 
