#name,id,P12,P13,P14,P15,kpi7_avg,kpi7_max,
,200,95 ,71 ,37 ,8 ,26 ,32 ,TRUE
,201,95 ,71 ,37 ,10 ,26 ,32 ,TRUE
,202,95 ,71 ,44 ,0 ,25 ,33 ,TRUE
,203,95 ,71 ,44 ,1 ,25 ,29 ,TRUE
,204,95 ,71 ,44 ,2 ,25 ,31 ,TRUE
,205,95 ,71 ,44 ,4 ,26 ,30 ,TRUE
,206,95 ,71 ,44 ,5 ,26 ,30 ,TRUE
,207,95 ,71 ,44 ,7 ,25 ,30 ,TRUE
,208,95 ,71 ,44 ,8 ,25 ,31 ,TRUE
,209,95 ,71 ,44 ,10 ,25 ,30 ,TRUE
,210,95 ,71 ,51 ,0 ,25 ,32 ,TRUE
,211,95 ,71 ,51 ,1 ,25 ,29 ,TRUE
,212,95 ,71 ,51 ,2 ,25 ,29 ,TRUE
,213,95 ,71 ,51 ,4 ,25 ,30 ,TRUE
,214,95 ,71 ,51 ,5 ,25 ,29 ,TRUE
,215,95 ,71 ,51 ,7 ,25 ,35 ,TRUE
,216,95 ,71 ,51 ,8 ,25 ,31 ,TRUE
,217,95 ,71 ,51 ,10 ,25 ,28 ,TRUE
,218,95 ,71 ,58 ,0 ,25 ,31 ,TRUE
,219,95 ,71 ,58 ,1 ,25 ,31 ,TRUE
,220,95 ,71 ,58 ,2 ,25 ,30 ,TRUE
,221,95 ,71 ,58 ,4 ,25 ,29 ,TRUE
,222,95 ,71 ,58 ,5 ,26 ,31 ,TRUE
,223,95 ,71 ,58 ,7 ,25 ,29 ,TRUE
,224,95 ,71 ,58 ,8 ,25 ,29 ,TRUE
,225,95 ,71 ,58 ,10 ,25 ,33 ,TRUE
,226,95 ,71 ,65 ,0 ,25 ,30 ,TRUE
,227,95 ,71 ,65 ,1 ,24 ,29 ,TRUE
,228,95 ,71 ,65 ,2 ,25 ,31 ,TRUE
,229,95 ,71 ,65 ,4 ,25 ,28 ,TRUE
,230,95 ,71 ,65 ,5 ,25 ,30 ,TRUE
,231,95 ,71 ,65 ,7 ,25 ,33 ,TRUE
,232,95 ,71 ,65 ,8 ,25 ,29 ,TRUE
,233,95 ,71 ,65 ,10 ,24 ,28 ,TRUE
,234,95 ,71 ,72 ,0 ,25 ,28 ,TRUE
,235,95 ,71 ,72 ,1 ,25 ,31 ,TRUE
,236,95 ,71 ,72 ,2 ,25 ,32 ,TRUE
,237,95 ,71 ,72 ,4 ,25 ,30 ,TRUE
,238,95 ,71 ,72 ,5 ,25 ,32 ,TRUE
,239,95 ,71 ,72 ,7 ,25 ,31 ,TRUE
,240,95 ,71 ,72 ,8 ,25 ,29 ,TRUE
,241,95 ,71 ,72 ,10 ,24 ,28 ,TRUE
,242,95 ,71 ,80 ,0 ,26 ,34 ,TRUE
,243,95 ,71 ,80 ,1 ,26 ,30 ,TRUE
,244,95 ,71 ,80 ,2 ,26 ,33 ,TRUE
,245,95 ,71 ,80 ,4 ,26 ,32 ,TRUE
,246,95 ,71 ,80 ,5 ,25 ,32 ,TRUE
,247,95 ,71 ,80 ,7 ,25 ,29 ,TRUE
,248,95 ,71 ,80 ,8 ,26 ,31 ,TRUE
,249,95 ,71 ,80 ,10 ,25 ,30 ,TRUE
,250,95 ,75 ,30 ,0 ,26 ,31 ,TRUE
,251,95 ,75 ,30 ,5 ,27 ,36 ,TRUE
,252,95 ,75 ,30 ,10 ,26 ,30 ,TRUE
,253,95 ,75 ,36 ,0 ,25 ,29 ,TRUE
,254,95 ,75 ,36 ,5 ,25 ,28 ,TRUE
,255,95 ,75 ,36 ,10 ,25 ,29 ,TRUE
,256,95 ,75 ,43 ,0 ,25 ,28 ,TRUE
,257,95 ,75 ,43 ,5 ,26 ,30 ,TRUE
,258,95 ,75 ,43 ,10 ,25 ,30 ,TRUE
,259,95 ,75 ,50 ,0 ,25 ,28 ,TRUE
,260,95 ,75 ,50 ,5 ,25 ,30 ,TRUE
,261,95 ,75 ,50 ,10 ,25 ,31 ,TRUE
,262,95 ,75 ,56 ,0 ,25 ,29 ,TRUE
,263,95 ,75 ,56 ,5 ,25 ,31 ,TRUE
,264,95 ,75 ,56 ,10 ,25 ,33 ,TRUE
,265,95 ,75 ,63 ,0 ,25 ,29 ,TRUE
,266,95 ,75 ,63 ,5 ,24 ,28 ,TRUE
,267,95 ,75 ,63 ,10 ,25 ,28 ,TRUE
,268,95 ,75 ,70 ,0 ,25 ,29 ,TRUE
,269,95 ,75 ,70 ,5 ,25 ,34 ,TRUE
,270,95 ,75 ,70 ,10 ,25 ,29 ,TRUE
,271,95 ,75 ,76 ,0 ,25 ,30 ,TRUE
,272,95 ,75 ,76 ,5 ,25 ,29 ,TRUE
,273,95 ,75 ,76 ,10 ,24 ,29 ,TRUE
,274,95 ,75 ,83 ,0 ,26 ,31 ,TRUE
,275,95 ,75 ,83 ,5 ,25 ,29 ,TRUE
,276,95 ,75 ,83 ,10 ,25 ,29 ,TRUE
,277,95 ,75 ,90 ,0 ,25 ,30 ,TRUE
,278,95 ,75 ,90 ,5 ,27 ,34 ,TRUE
,279,95 ,75 ,90 ,10 ,26 ,31 ,TRUE
,280,95 ,77 ,30 ,0 ,25 ,29 ,TRUE
,281,95 ,77 ,30 ,1 ,26 ,29 ,TRUE
,282,95 ,77 ,30 ,2 ,26 ,30 ,TRUE
,283,95 ,77 ,30 ,4 ,26 ,30 ,TRUE
,284,95 ,77 ,30 ,5 ,25 ,28 ,TRUE
,285,95 ,77 ,30 ,7 ,26 ,31 ,TRUE
,286,95 ,77 ,30 ,8 ,27 ,31 ,TRUE
,287,95 ,77 ,30 ,10 ,26 ,31 ,TRUE
,288,95 ,77 ,37 ,0 ,25 ,30 ,TRUE
,289,95 ,77 ,37 ,1 ,25 ,30 ,TRUE
,290,95 ,77 ,37 ,2 ,25 ,29 ,TRUE
,291,95 ,77 ,37 ,4 ,25 ,29 ,TRUE
,292,95 ,77 ,37 ,5 ,25 ,31 ,TRUE
,293,95 ,77 ,37 ,7 ,26 ,30 ,TRUE
,294,95 ,77 ,37 ,8 ,26 ,32 ,TRUE
,295,95 ,77 ,37 ,10 ,26 ,31 ,TRUE
,296,95 ,77 ,44 ,0 ,25 ,30 ,TRUE
,297,95 ,77 ,44 ,1 ,25 ,31 ,TRUE
,298,95 ,77 ,44 ,2 ,25 ,29 ,TRUE
,299,95 ,77 ,44 ,4 ,26 ,29 ,TRUE
,300,95 ,77 ,44 ,5 ,25 ,35 ,TRUE
,301,95 ,77 ,44 ,7 ,26 ,30 ,TRUE
,302,95 ,77 ,44 ,8 ,26 ,32 ,TRUE
,303,95 ,77 ,44 ,10 ,26 ,33 ,TRUE
,304,95 ,77 ,51 ,0 ,26 ,33 ,TRUE
,305,95 ,77 ,51 ,1 ,25 ,29 ,TRUE
,306,95 ,77 ,51 ,2 ,25 ,30 ,TRUE
,307,95 ,77 ,51 ,4 ,25 ,30 ,TRUE
,308,95 ,77 ,51 ,5 ,26 ,30 ,TRUE
,309,95 ,77 ,51 ,7 ,25 ,31 ,TRUE
,310,95 ,77 ,51 ,8 ,25 ,27 ,TRUE
,311,95 ,77 ,51 ,10 ,25 ,32 ,TRUE
,312,95 ,77 ,58 ,0 ,25 ,29 ,TRUE
,313,95 ,77 ,58 ,1 ,25 ,29 ,TRUE
,314,95 ,77 ,58 ,2 ,25 ,31 ,TRUE
,315,95 ,77 ,58 ,4 ,25 ,32 ,TRUE
,316,95 ,77 ,58 ,5 ,26 ,32 ,TRUE
,317,95 ,77 ,58 ,7 ,25 ,30 ,TRUE
,318,95 ,77 ,58 ,8 ,25 ,29 ,TRUE
,319,95 ,77 ,58 ,10 ,25 ,30 ,TRUE
,320,95 ,77 ,65 ,0 ,25 ,31 ,TRUE
,321,95 ,77 ,65 ,1 ,26 ,31 ,TRUE
,322,95 ,77 ,65 ,2 ,25 ,32 ,TRUE
,323,95 ,77 ,65 ,4 ,25 ,30 ,TRUE
,324,95 ,77 ,65 ,5 ,25 ,29 ,TRUE
,325,95 ,77 ,65 ,7 ,25 ,31 ,TRUE
,326,95 ,77 ,65 ,8 ,25 ,30 ,TRUE
,327,95 ,77 ,65 ,10 ,24 ,30 ,TRUE
,328,95 ,77 ,72 ,0 ,24 ,28 ,TRUE
,329,95 ,77 ,72 ,1 ,25 ,30 ,TRUE
,330,95 ,77 ,72 ,2 ,25 ,29 ,TRUE
,331,95 ,77 ,72 ,4 ,25 ,31 ,TRUE
,332,95 ,77 ,72 ,5 ,25 ,34 ,TRUE
,333,95 ,77 ,72 ,7 ,25 ,32 ,TRUE
,334,95 ,77 ,72 ,8 ,25 ,32 ,TRUE
,335,95 ,77 ,72 ,10 ,25 ,31 ,TRUE
,336,95 ,77 ,80 ,0 ,25 ,32 ,TRUE
,337,95 ,77 ,80 ,1 ,25 ,30 ,TRUE
,338,95 ,77 ,80 ,2 ,26 ,32 ,TRUE
,339,95 ,77 ,80 ,4 ,25 ,33 ,TRUE
